リンク,ジャンル,商品説明,発売元,発売日,価格
https://www.suruga-ya.jp/product/detail/106011078,amiibo,amiibo しずえ(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/07/19,"￥1,900"
https://www.suruga-ya.jp/product/detail/106011106,amiibo,amiibo スネーク(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/09/20,"￥2,100"
https://www.suruga-ya.jp/product/other/106010850,amiibo,amiibo ベヨネッタ【2Pファイター】(大乱闘スマッシュブラザーズシリーズ),任天堂,2017/07/21,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/106010848,amiibo,amiibo クラウド【2Pファイター】(大乱闘スマッシュブラザーズシリーズ),任天堂,2017/07/21,"￥2,580"
https://www.suruga-ya.jp/product/detail/106010845,amiibo,amiibo クラウド(大乱闘スマッシュブラザーズシリーズ),任天堂,2017/07/21,"￥3,428"
https://www.suruga-ya.jp/product/detail/106010846,amiibo,amiibo カムイ(大乱闘スマッシュブラザーズシリーズ),任天堂,2017/07/21,"￥1,400"
https://www.suruga-ya.jp/product/detail/106010849,amiibo,amiibo カムイ【2Pファイター】(大乱闘スマッシュブラザーズシリーズ),任天堂,2017/07/21,"￥4,060"
https://www.suruga-ya.jp/product/detail/106010847,amiibo,amiibo ベヨネッタ(大乱闘スマッシュブラザーズシリーズ),任天堂,2017/07/21,"￥1,950"
https://www.suruga-ya.jp/product/detail/106011074,amiibo,amiibo アイスクライマー(大乱闘スマッシュブラザーズシリーズ),任天堂,2019/02/15,"￥1,990"
https://www.suruga-ya.jp/product/detail/106011656,WiiUハード,amiibo ソラ (大乱闘スマッシュブラザーズシリーズ),任天堂,2024年,"￥2,280"
https://www.suruga-ya.jp/product/detail/109104607?tenpo_cd=400331,ニンテンドースイッチハード,amiibo ヒカリ(大乱闘スマッシュブラザーズシリーズ),任天堂,発売日不明,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/106010396,amiibo,amiibo リンク(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,800"
https://www.suruga-ya.jp/product/detail/106010416,amiibo,amiibo ルカリオ(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥1,650"
https://www.suruga-ya.jp/product/detail/106010398,amiibo,amiibo サムス(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥2,200"
https://www.suruga-ya.jp/product/detail/106010409,amiibo,amiibo キャプテンファルコン(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥2,200"
https://www.suruga-ya.jp/product/detail/106010406,amiibo,amiibo ゼルダ(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,500"
https://www.suruga-ya.jp/product/detail/106010397,amiibo,amiibo フォックス(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,700"
https://www.suruga-ya.jp/product/detail/106010393,amiibo,amiibo ピーチ(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥2,580"
https://www.suruga-ya.jp/product/detail/106010422,amiibo,amiibo デデデ大王(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥2,030"
https://www.suruga-ya.jp/product/detail/106010417,amiibo,amiibo ロゼッタ＆チコ(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥3,480"
https://www.suruga-ya.jp/product/detail/106010423,amiibo,amiibo メタナイト(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥1,780"
https://www.suruga-ya.jp/product/detail/106010420,amiibo,amiibo シーク(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥1,988"
https://www.suruga-ya.jp/product/detail/106010419,amiibo,amiibo トゥーンリンク(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥1,800"
https://www.suruga-ya.jp/product/detail/106011336,amiibo,amiibo メタナイト(大乱闘スマブラシリーズ)(状態：本体状態難),任天堂,2015/01/22,"￥1,130"
https://www.suruga-ya.jp/product/detail/106010408,amiibo,amiibo ピット(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,900"
https://www.suruga-ya.jp/product/detail/106011303,amiibo,amiibo ピカチュウ(大乱闘スマブラシリーズ)(状態：本体状態難),任天堂,2014/12/06,￥980
https://www.suruga-ya.jp/product/detail/106011035,amiibo,amiibo カービィ(大乱闘スマブラシリーズ) (状態：本体状態難),任天堂,2014/12/06,"￥1,100"
https://www.suruga-ya.jp/product/detail/106010394,amiibo,amiibo ヨッシー(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥2,670"
https://www.suruga-ya.jp/product/detail/106010400,amiibo,amiibo むらびと(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,700"
https://www.suruga-ya.jp/product/detail/106010404,amiibo,amiibo ルイージ(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥2,810"
https://www.suruga-ya.jp/product/detail/106010403,amiibo,amiibo マルス(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,580"
https://www.suruga-ya.jp/product/detail/106010399,amiibo,amiibo WiiFitトレーナー(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥2,830"
https://www.suruga-ya.jp/product/detail/106010402,amiibo,amiibo カービィ(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,200"
https://www.suruga-ya.jp/product/detail/157000388,NGCソフト,特製スマブラDX ムービーディスク,任天堂,2002/99/99,"￥5,980"
https://www.suruga-ya.jp/product/detail/106010418,amiibo,amiibo クッパ(大乱闘スマブラシリーズ),任天堂,2015/01/22,"￥2,480"
https://www.suruga-ya.jp/product/detail/106010405,amiibo,amiibo ディディーコング(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥3,580"
https://www.suruga-ya.jp/product/detail/106010401,amiibo,amiibo ピカチュウ(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,100"
https://www.suruga-ya.jp/product/detail/106010395,amiibo,amiibo ドンキーコング(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,800"
https://www.suruga-ya.jp/product/detail/106011562,amiibo,amiibo クッパ(大乱闘スマブラシリーズ)(状態：本体状態難),任天堂,2015/01/22,"￥1,350"
https://www.suruga-ya.jp/product/detail/106010421,amiibo,amiibo アイク(大乱闘スマブラシリーズ),任天堂,2015/01/22,￥980
https://www.suruga-ya.jp/product/detail/106011103,amiibo,amiibo トゥーンリンク(大乱闘スマブラシリーズ)(状態：本体状態難),任天堂,2015/01/22,"￥1,630"
https://www.suruga-ya.jp/product/detail/106010392,amiibo,amiibo マリオ(大乱闘スマブラシリーズ),任天堂,2014/12/06,"￥1,730"
https://www.suruga-ya.jp/product/detail/106011580,amiibo,amiibo ゼルダ(大乱闘スマブラシリーズ)(状態：本体状態難),任天堂,2014/12/06,"￥1,780"
https://www.suruga-ya.jp/product/detail/104001807?tenpo_cd=400493,ニンテンドー3DSソフト,AU版 SUPER SMASH BROS. for NINTENDO 3DS(国内版本体動作不可),任天堂,発売日不明,品切れなので他店舗の商品をご覧ください
